article_id,publication,brand,parent_company,brand_category,headline,body,url,published_at,sentiment_score,source,ingested_at
coca-cola-sales-q3-2024,Reuters,Coca-Cola,The Coca-Cola Company,Carbonated Soft Drinks,Coca-Cola Reports Strong Q3 Sales Despite Market Challenges,The Coca-Cola Company exceeded analyst expectations with strong third-quarter earnings driven by price increases and resilient demand in emerging markets.,https://reuters.com/business/coca-cola-q3-2024,2024-10-15T10:30:00Z,0.6521,news,2024-11-09T17:00:00Z
pepsi-sustainability-2024,Bloomberg,Pepsi,PepsiCo,Carbonated Soft Drinks,PepsiCo Announces Major Sustainability Initiative for 2025,PepsiCo unveiled ambitious plans to reduce plastic usage by 50% and achieve carbon neutrality across operations by 2030.,https://bloomberg.com/pepsi-sustainability,2024-10-20T14:22:00Z,0.7854,news,2024-11-09T17:00:00Z
redbull-energy-market,CNBC,Red Bull,Red Bull GmbH,Energy Drinks,Red Bull Maintains Lead in Growing Energy Drink Market,Despite increased competition Red Bull continues to dominate the energy drink category with innovative marketing and product extensions.,https://cnbc.com/redbull-market-2024,2024-10-18T09:15:00Z,0.5234,news,2024-11-09T17:00:00Z
monster-earnings-miss,Wall Street Journal,Monster Energy,Monster Beverage Corporation,Energy Drinks,Monster Energy Shares Drop After Earnings Miss Estimates,Monster Energy reported lower-than-expected quarterly earnings citing supply chain disruptions and increased competition.,https://wsj.com/monster-earnings-q3,2024-10-22T11:45:00Z,-0.4123,news,2024-11-09T17:00:00Z
sprite-new-flavor,Food Business News,Sprite,The Coca-Cola Company,Carbonated Soft Drinks,Sprite Launches New Tropical Flavor Targeting Gen Z Consumers,Coca-Cola's Sprite brand introduces a limited-edition tropical flavor as part of efforts to attract younger demographics.,https://foodbusinessnews.com/sprite-tropical,2024-10-25T13:30:00Z,0.4567,news,2024-11-09T17:00:00Z
mountain-dew-gaming,The Verge,Mountain Dew,PepsiCo,Carbonated Soft Drinks,Mountain Dew Expands Gaming Partnership with Major Esports League,Mountain Dew announces multi-year sponsorship deal with premier esports organization strengthening its position in gaming culture.,https://theverge.com/mountain-dew-esports,2024-10-28T16:20:00Z,0.6234,news,2024-11-09T17:00:00Z
fanta-rebrand,Marketing Week,Fanta,The Coca-Cola Company,Carbonated Soft Drinks,Fanta Unveils Bold New Branding and Packaging Design,The iconic orange soda brand reveals a vibrant new look aimed at reinforcing its playful personality and standing out on shelves.,https://marketingweek.com/fanta-rebrand,2024-10-30T10:00:00Z,0.5678,news,2024-11-09T17:00:00Z
celsius-growth,Forbes,Celsius,Celsius Holdings,Energy Drinks,Celsius Energy Drink Sales Surge 150% Year Over Year,The fitness-focused energy drink brand reports explosive growth driven by health-conscious consumers and strong retail distribution.,https://forbes.com/celsius-growth-2024,2024-11-01T12:15:00Z,0.8234,news,2024-11-09T17:00:00Z
dr-pepper-shortage,CNN Business,Dr Pepper,Keurig Dr Pepper,Carbonated Soft Drinks,Dr Pepper Faces Supply Shortages Due to High Demand,Popular soda brand struggles to keep up with unprecedented consumer demand leading to empty shelves across major retailers.,https://cnn.com/dr-pepper-shortage,2024-11-03T14:45:00Z,-0.2345,news,2024-11-09T17:00:00Z
gatorade-innovation,Sports Business Journal,Gatorade,PepsiCo,Sports Drinks,Gatorade Introduces Smart Bottle Technology for Athletes,PepsiCo's sports drink brand launches connected bottle that tracks hydration levels and provides personalized recommendations.,https://sportsbusinessjournal.com/gatorade-smart,2024-11-04T09:30:00Z,0.7123,news,2024-11-09T17:00:00Z
coca-cola-ai-marketing,Ad Age,Coca-Cola,The Coca-Cola Company,Carbonated Soft Drinks,Coca-Cola Uses AI to Create Personalized Marketing Campaigns,The beverage giant embraces artificial intelligence to deliver targeted advertising and customer experiences at scale.,https://adage.com/coca-cola-ai,2024-11-05T11:00:00Z,0.6456,news,2024-11-09T17:00:00Z
pepsi-zero-sugar,Business Insider,Pepsi,PepsiCo,Carbonated Soft Drinks,Pepsi Zero Sugar Sees Record Growth as Consumers Shift Preferences,Zero-calorie variant outperforms regular Pepsi as health-conscious consumers drive category transformation.,https://businessinsider.com/pepsi-zero-growth,2024-11-06T15:20:00Z,0.5891,news,2024-11-09T17:00:00Z
rockstar-reformulation,Beverage Industry,Rockstar,PepsiCo,Energy Drinks,Rockstar Energy Announces New Formula with Natural Ingredients,PepsiCo reformulates Rockstar energy drinks removing artificial colors and flavors in response to consumer preferences.,https://bevindustry.com/rockstar-natural,2024-11-07T10:45:00Z,0.4234,news,2024-11-09T17:00:00Z
7up-declining-sales,Financial Times,7 Up,Keurig Dr Pepper,Carbonated Soft Drinks,7 Up Sales Continue Decline as Lemon-Lime Category Struggles,Legacy lemon-lime soda faces challenges from changing consumer tastes and increased competition from flavored sparkling waters.,https://ft.com/7up-sales-decline,2024-11-08T13:15:00Z,-0.5234,news,2024-11-09T17:00:00Z
vitaminwater-expansion,Grocery Dive,Vitaminwater,The Coca-Cola Company,Enhanced Water,Vitaminwater Expands Distribution to Convenience Stores Nationwide,Enhanced water brand accelerates growth with major convenience store partnerships targeting on-the-go consumers.,https://grocerydive.com/vitaminwater-expansion,2024-11-02T08:30:00Z,0.5123,news,2024-11-09T17:00:00Z
prime-energy-controversy,NBC News,Prime,Prime Hydration LLC,Energy Drinks,Prime Energy Drink Faces Scrutiny Over Caffeine Content for Kids,YouTube-backed beverage brand under fire from health advocates concerned about high caffeine levels marketed to young consumers.,https://nbcnews.com/prime-controversy,2024-10-27T17:00:00Z,-0.6789,news,2024-11-09T17:00:00Z
bodyarmor-athlete-deals,ESPN,BodyArmor,The Coca-Cola Company,Sports Drinks,BodyArmor Signs Top Athletes in Push to Challenge Gatorade,Sports drink brand backed by Coca-Cola announces endorsement deals with major athletes across multiple sports.,https://espn.com/bodyarmor-athletes,2024-10-29T12:00:00Z,0.6345,news,2024-11-09T17:00:00Z
